Name,Size,fs url,fd url,jl url,ps url
The One For Men EDT,50,https://www.thefragranceshop.co.uk/dolce-and-gabbana/the-one-for-men/eau-de-toilette-spray/p/10306,https://www.fragrancedirect.co.uk/dolce-and-gabbana-the-one-for-men-eau-de-toilette-spray-50ml-0015464.html?cgid=dolce-and-gabbana-the-one#searchPath=searchpEnd,https://www.johnlewis.com/dolce-gabbana-the-one-for-men-eau-de-toilette/p41004?size=50ml,https://www.theperfumeshop.com/dolce-gabbana/the-one-for-men/eau-de-toilette-for-him/p/61820EDTJU
The One For Men EDT,100,https://www.thefragranceshop.co.uk/dolce-and-gabbana/the-one-for-men/eau-de-toilette-spray/p/10307,https://www.fragrancedirect.co.uk/dolce-and-gabbana-the-one-for-men-edt-spray-100ml-0015465.html?cgid=dolce-and-gabbana-the-one#searchPath=searchpEnd,,https://www.theperfumeshop.com/dolce-gabbana/the-one-for-men/eau-de-toilette-for-him/p/61820EDTJU
The One For Men EDP,50,https://www.thefragranceshop.co.uk/dolce-and-gabbana/the-one-for-men/eau-de-parfum-spray/p/29702,https://www.fragrancedirect.co.uk/dolce-and-gabbana-the-one-for-men-edp-spray-50ml-0063776.html?cgid=dolce-and-gabbana-the-one#searchPath=searchpEnd,https://www.johnlewis.com/dolce-gabbana-the-one-for-men-eau-de-parfum/p2541464?size=50ml,https://www.theperfumeshop.com/dolce-gabbana/the-one-for-men/eau-de-parfum-for-him/p/61820EDPJU
The One For Men EDP,100,https://www.thefragranceshop.co.uk/dolce-and-gabbana/the-one-for-men/eau-de-parfum-spray/p/29703,https://www.fragrancedirect.co.uk/dolce-and-gabbana-the-one-for-men-edp-spray-100ml-0063777.html?cgid=dolce-and-gabbana-the-one#searchPath=searchpEnd,https://www.johnlewis.com/dolce-gabbana-the-one-for-men-eau-de-parfum/p2541464?size=100ml,https://www.theperfumeshop.com/dolce-gabbana/the-one-for-men/eau-de-parfum-for-him/p/61820EDPJU
Tom Ford Neroli Portofino EDT,100,https://www.thefragranceshop.co.uk/tom-ford/neroli-portofino/eau-de-toilette-spray/p/31646,,https://www.johnlewis.com/tom-ford-neroli-portofino-acqua-eau-de-toilette-100ml/p2561137,https://www.theperfumeshop.com/tom-ford/neroli-portofino-acqua/eau-de-toilette/p/27610EDPJU
Tom Ford Tobacco Oud EDT,50,,,https://www.johnlewis.com/tom-ford-private-blend-tobacco-oud-eau-de-parfum-50ml/p1369828,
Ultra Male,75,https://www.thefragranceshop.co.uk/jean-paul-gaultier/ultra-male/eau-de-toilette-spray/p/27811,https://www.fragrancedirect.co.uk/jean-paul-gaultier-ultra-male-edt-spray-75ml-0062031.html#q=ultra%2Bmale&lang=default&start=3,https://www.johnlewis.com/jean-paul-gaultier-le-male-ultra-eau-de-toilette/p2013237?size=75ml,https://www.theperfumeshop.com/jean-paul-gaultier/ultra-male/eau-de-toilette-for-him/p/70570EDTJU
Ultra Male,125,https://www.thefragranceshop.co.uk/jean-paul-gaultier/ultra-male/eau-de-toilette-spray/p/27812,https://www.fragrancedirect.co.uk/jean-paul-gaultier-ultra-male-edt-spray-125ml-0062032.html#q=ultra%2Bmale&lang=default&start=5,https://www.johnlewis.com/jean-paul-gaultier-le-male-ultra-eau-de-toilette/p2013237?size=125ml,https://www.theperfumeshop.com/jean-paul-gaultier/ultra-male/eau-de-toilette-for-him/p/70570EDTJU
Versace Eros,50,https://www.thefragranceshop.co.uk/versace/eros/eau-de-toilette-spray/p/21937,,,
Versace Eros,100,https://www.thefragranceshop.co.uk/versace/eros/eau-de-toilette-spray/p/24455,,https://www.johnlewis.com/versace-eros-eau-de-toilette/p413522?size=100ml,https://www.theperfumeshop.com/versace/eros/eau-de-toilette-for-him/p/62570EDTJU
Versace Eros Flame EDP,100,https://www.thefragranceshop.co.uk/versace/eros-flame/eau-de-parfum-spray/p/45568,https://www.fragrancedirect.co.uk/versace-eros-flame-eau-de-parfum-spray-100ml-01030020003.html#q=eros%2Bflame&lang=default&start=1,https://www.johnlewis.com/versace-eros-flame-eau-de-parfum/p3933448?size=100ml,https://www.theperfumeshop.com/versace/eros-flame/eau-de-parfum-for-him/p/62580EDPJU
